Name	TrTime
101024A	11:39:29.82
101023A	22:50:12
101020A	23:40:41
101017A	10:32:47
101011A	16:58:35
101008A	16:43:15
100928A	02:19:52
100924A	03:58:08
100917A	05:03:25
100915A	01:31:05
100906A	13:49:27
100905A	15:08:14
100904A	01:33:43
100902A	19:31:54
100901A	13:34:10
100823A	17:25:35
100816A	00:37:51
100814A	03:50:11
100807A	09:13:13
100805A	04:12:42
100802A	05:45:36
100728B	10:31:55
100728A	02:18:24
100727A	05:42:17
100725B	11:24:34
100725A	07:12:52
100724A	00:42:19
100719A	03:30:57
100704A	03:35:08
100702A	01:03:47
100628A	08:16:40
100625A	18:32:28
100621A	03:03:32
100619A	00:21:07
100615A	01:59:03
100614A	21:38:26
100606A	19:12:41
100526B	19:00:38
100526A	16:26:10
100522A	03:45:52
100514A	18:53:58
100513A	02:07:08
100508A	09:20:42
100504A	19:20:59
100427A	08:31:55
100425A	02:50:45
100424A	16:32:42
100423A	00:34:59
100420A	05:22:42
100418A	21:10:08
100413B	08:42:41
100413A	17:33:28
100401A	07:07:31.9
100324A	00:21:27
100316D	12:44:50
100316C	08:57:59
100316B	08:01:36
100316A	02:23:00
100305A	09:05:38
100302A	19:53:06
100224A	15:20:10
100219A	15:15:46
100216A	10:07:00
100213B	22:58:34
100213A	22:27:48
100212A	14:07:22
100206A	13:30:05
100205A	04:18:43
100203A	18:31:07
100119A	18:25:25
100117A	21:06:19
100115A	11:15:19
100111A	04:12:49
091221	20:52:52
091208B	09:49:57
091208A	08:46:00
091130B	17:59:04
091127	23:25:45
091112	17:41:21
091109B	21:49:03
091109A	04:57:43
091104	08:49:22
091102	14:34:38
091029	03:53:22
091026	13:11:30
091024	08:56:01
091020	21:36:44
091018	20:48:19
090929B	10:09:07
090927	10:07:16
090926B	21:55:48
090916	07:00:44
090915	15:35:36
090912	15:50:29
090904B	01:24:18
090904A	01:01:06
090831C	21:30:25
090827	19:06:26
090815C	23:21:39
090814A	00:52:19
090813	04:10:43
090812	06:02:08
090809	17:31:14
090807	15:00:27
090728	14:45:45
090727	22:42:18
090726	22:42:27
090720	06:38:08
090715B	21:03:14
090715A	17:25:39
090712	03:51:05
090709B	15:07:42
090709A	07:38:34
090708	03:38:15
090628	21:20:12
090621B	22:07:25
090621A	04:22:43
090618	08:28:29
090607	05:30:17
090531B	18:35:56
090531A	01:45:17
090530	03:18:18
090529	14:12:35
090520	01:37:16
090519	21:08:56
090518	01:54:44
090516A	08:27:50
090515	04:45:09
090510	00:23:00
090509	05:10:03
090429B	05:30:03
090429A	04:53:39
090426	12:48:47
090424	14:12:09
090423	07:55:19
090422	03:35:16
090419	13:43:31
090418B	08:59:02
090418A	11:07:40
090417B	15:20:03
090417A	13:17:23
090410	16:57:52
090407	10:28:25
090404	15:56:30
090401B	08:35:25
090401A	00:00:59
090313	09:06:27
090309A	23:29:13
090308A	18:01:23
090307A	03:46:37
090306B	23:07:02
090305A	05:19:51
090301A	06:55:55
090205	23:03:14
090201	17:47:02
090129	21:07:15
090123	07:51:56
090118	13:54:02
090113	18:40:39
090111	23:58:21
090107A	04:48:04
090102	02:55:45
081230	20:36:12
081228	01:17:40
081226A	01:03:37
081222	04:53:59
081221	16:21:11
081211B	06:15:02
081211A	11:48:10
081210	20:19:34
081203B	13:57:11
081203A	13:57:11
081128	17:18:44
081127	07:05:08
081126	21:34:10
081121	20:35:32
081118	14:56:36
081109A	07:02:06
