gcn_number grb_id T90 T90err
16354 140606A 0.34 0.09
16370 140607A 109.9 18.5
16382 140610A NA NA
16402 140614A 720 160
16404 140614B 49.8 7.9
16423 140619A 233.9 13.4
16438 140622A 0.13 0.04
16462 140626A 16.4 1.4
16473 140628A 10.5 0.9
16481 140629A 42 14.3
16509 140703A 67.1 67.9
16522 140705A 0.08 0.01
16539 140706A 48.3 4.3
16553 140709A 98.6 7.7
16560 140709B 155 22.3
16573 140710A 3.52 0.91
16584 140713A 5.3 0.66
16598 140716A 104 2
16613 140719A 48 23
16615 140719B 53 13.5
16652 140730A 41.3 3.7
16699 140817A 244 13
16721 140818B 18.1 5
16736 140824A 3.09 0.5
16756 140828A 18.8 4
16768 140903A 0.3 0.03
16799 140907A 79.2 31.4
16827 140916A 80.1 15.6
16839 140919A 151.3 25.6
16845 140927A 6.26 1.43
16870 140930B 0.84 0.12
16892 141004A 3.92 1.07
16893 141005A 4.34 1.08
16916 141015A 11 4.1
16927 141017A 55.7 2.8
16935 141020A 15.55 2.05
16942 141022A 8.72 1.56
16960 141026A 146 13
17010 141031A 920 10
17011 141031B 16 3.6
17044 141109A 200 47
17046 141109B 54.2 5
17083 141121A 549.9 37.4
17127 141130A 62.9 11.4
17140 141205A 1.1 0.2
17175 141212A 0.3 0.08
17176 141212B 10.5 0.7
17202 141220A 7.21 0.48
17213 141221A 36.9 4
17239 141225A 40.24 7.04
17266 150101A 0.06 0.005
17274 150103A 49.1 9.8
17300 150110B 10.6 0.95
17329 150120A 1.2 0.16
17330 150120B 24.3 3.39
17374 150201A 26.1 5.2
17401 150202A 25.7 4.3
17406 150204A 12 2
17410 150203A 25.8 5
17426 150206A 83.2 7.8
17445 150211A 13.6 2
17457 150212A 11.4 4.1
17471 150213B 181 60
17491 150222A 15.9 7.32
17519 150301A 0.48 0.14
17524 150301B 12.44 1.49
17539 150302A 23.74 8.79
17562 150309A 242 6
17581 150314A 14.79 2.64
17596 150317A 23.29 0.85
17604 150318A 83.88 12.57
17628 150323A 149.6 8.9
17637 150323C 159.4 54
17675 150403A 40.9 11.72
17701 150413A 263.6 36.7
17740 150423A 0.22 0.03
17761 150424A 91 22
17774 150428A 53.2 15.1
17776 150428B 130.9 15.6
17795 150430A 107.1 6.7
17814 150513A 162 5
17880 150527A 112 80
17890 150530A 6.62 0.84
17907 150607A 26.3 0.7
17930 150615A 27.6 5.1
17941 150616A 599.5 99.3
17973 150626A 144 66
17981 150626B 48 22.6
18002 150710A 0.15 0.06
18020 150711A 64.2 14.2
18034 150716A 44 6
18038 150720A 151 11
18048 150722A 67 12
18055 150724A 280 44
18086 150727A 88 13
18091 150728A 0.83 0.23
18110 150801B 426 30
18129 150811A 34 6.25
18148 150817A 38.8 2.1
18157 150818A 123.3 31.3
18170 150819A 52.1 12.9
18196 150821A 172.1 99
18214 150831A 1.15 0.23
18223 150831B 6.2 1
18232 150901A 64 35.8
18256 150907B 62 11.1
18268 150910A 112.2 38.3
18292 150911A NA NA
18328 150915A 164.7 49.7
18368 150925A 121 27
18382 151001B 109 17
18387 151001A 8.94 1.07
18409 151006A 203.9 41.6
18429 151021A 110.2 3.7
18452 151022A 116.7 23
18469 151023A 10.66 4.41
18496 151027A 129.69 5.55
18514 151027B 80 35.78
18527 151029A 8.95 2.32
18542 151031A 5 2.24
18568 151107A NA NA
18580 151111A 76.93 12.59
18593 151112A 19.32 31.24
18604 151114A 4.86 0.98
18622 151118A 23.4 10.5
18648 151127A 0.19 0.04
18668 151205A 62.8 12.3
18670 151205B 1.4 0.2
18683 151210A 94.9 10.4
18699 151215A 17.8 1
18751 151229A 1.78 0.44
18752 151228B 48 16
18754 151228A 0.27 0.01
18829 160104A 16.2 2.5
18882 160117A 118.58 20.46
18899 160119A 116 14
18919 160121A 12 2.4
18929 160123A 3.95 0.62
18944 160127A 6.16 0.94
18959 160131A 325 72
18998 160203A 20.2 3.2
19020 160216A 11 1
19038 160220A 8.3 1.2
19043 160220B 31.4 2.6
19066 160223A 127 8
19091 160225A 157 70
19106 160227A 316.5 75.4
19113 160228A 98.36 23.35
19148 160303A 5 0.8
19181 160313A 42.6 6.4
19188 160314A 8.73 1.52
19216 160321A 33.6 4.8
19234 160325A 64.9 14.7
19240 160327A 28 9
19263 160408A 0.32 0.04
19276 160410A NA NA
19301 160412A 31.6 4
19302 160411A 0.36 0.08
19323 160417A 15 2
19328 160419A 8.8 1.1
19338 160424A 6.3 1
19355 160425A 304.58 15.04
19376 160501A 118 19
19393 160504A 53.9 6
19397 160506A 254.5 24.9
19441 160519A 35.57 6.11
19461 160525A NA NA
19468 160525B 0.29 0.05
19494 160601A 0.12 0.02
19506 160607A 33.4 0.45
19529 160611A 34.1 5.6
19569 160624A 0.2 0.1
19592 160625A 53.9 3.1
19639 160630A 29.5 5.51
19648 160703A 44.4 2.8
19662 160705B 54.4 12.4
19705 160714A 0.35 0.11
19713 160712A NA NA
19719 160716A 6.39 0.57
19734 160726A 0.7 0.04
19749 160801A 2.85 0.41
19765 160804A 144.2 19.2
19799 160815A 8.6 1.8
19840 160821A NA NA
19844 160821B 0.48 0.07
19861 160824A 99.3 7.8
19872 160826A 52.6 14.5
19878 160827A 13.3 2.2
19896 160905A 64 16
19924 160912A NA NA
19934 160917A 16 2
19961 160927A 0.48 0.1
19974 161001A 2.6 0.4
19995 161004B 15.9 0.7
20001 161004A 1.08 0.21
20017 161007A 201.7 40.3
20032 161011A 4.3 1.3
20049 161014A 18.3 2.8
20076 161017A 216.3 6.9
20100 161022A 7.3 1
20129 161104A 0.1 0.02
20136 161105A 177.3 25.8
20151 161108A 105.1 11.9
20178 161113A 42.6 11.1
20188 161117A 125.7 1.1
20189 161117B 152.51 3.37
20220 161129A 35.53 2.09
20233 161202A NA NA
20270 161214B 24.8 3.1
20284 161217A 18.2 5.8
20293 161218A 7.1 0.6
20308 161219B 6.94 0.79
20325 161220A 6 1
20337 161224A 47.04 12.12
20353 170101A 2.43 0.49
20433 170111A 29.9 9.4
20443 170112A 0.06 0.02
20456 170113A 20.66 4.44
20471 170115A 48 22.6
20557 170126A 9.5 1.6
20565 170127A 62.26 10.39
20566 170127B 0.51 0.14
20596 170202A 46.2 11.5
20597 170203A 45.2 6.4
20613 170205A 26.1 3.2
20622 170206B 13.36 2.67
20653 170208A 7.45 0.54
20654 170208B 128.07 5.75
20829 170306A 17.8 6.7
20838 170307A 56.92 27.4
20855 170311A 6.32 0.96
20896 170317A 11.94 4.87
20912 170318A 133.7 42.8
20923 170318B 160 35.8
20967 170331A 17.57 2.57
20968 170330A 144.73 3.51
20999 170405A 164.7 35.4
21018 170419A 8.18 2
21025 170419B 77.2 9.8
21046 170428A 0.2 0.07
21102 170516A 36.78 11.61
21112 170519A 216.4 49.4
21143 170524A 0.1 0.02
21156 170526A 7.9 1.6
21186 170531B 164.13 8.82
21195 170604A 26.7 6.21
21230 170607A NA NA
21271 170626A 12.94 0.34
21287 170629A 34.4 12.7
21296 170705A 217.3 18
21313 170710A 32.6 10.5
21331 170711A 31.3 7.6
21347 170714A NA NA
21365 170724A 98 26.1
21370 170728A 1.25 0.23
21384 170728B 47.7 25.2
21412 170803A 3.82 0.23
21416 170804A 43.4 9.8
21423 170807A 48.5 11.7
21458 170810A 152.4 21.5
21473 170813A 75.5 10.9
21651 170822A 64 16
21678 170823A 69.4 11.7
21724 170827A 94 12.5
21796 170903A 29.2 4.4
21832 170906C 48.4 4.7
21838 170906A 88.1 1.5
21841 170906B NA NA
21877 170912A 21.9 5.6
21879 170912B 19.6 6.2
21912 170921A 28.9 6
21958 171001A 22.8 2
21973 171004A 107.1 14.5
21981 171007A 105 45
22006 171011A 2.27 0.24
22038 171020A 41.9 9.2
22066 171027A 96.6 4.8
22088 171102B 17.8 3.1
22099 171103A 3.9 1.11
22127 171115A 38.2 3.4
22139 171120A 64 16
22153 171123A 58.5 27.1
22184 171205A 189.4 35
22229 171209A 161.7 30.8
22241 171211A 2.32 0.59
22253 171212A 320 72
22259 171216A 30 7.5
22280 171222A 174.8 22.7
22300 180102A 10.8 1.7
22324 180111A 50.6 1.9
22332 180113A 64 16
22348 180115A 40.9 3
22380 180204A 1.16 0.12
22393 180205A 15.5 3.1
22436 180222A 64 22.6
22447 180224A 10.9 3.6
22474 180311A 23 8.7
22490 180314A 51.2 22.3
22498 180314B 73 9.4
22512 180316A 87 20.6
22533 180324A 7.2 1.3
22545 180325A 94.1 1.5
22561 180329A 9.1 1.8
22566 180329B 210 44
22574 180331A 48 22.6
22576 180331B 147 33.1
22584 180402A 0.18 0.03
22599 180404A 35.2 5.3
22601 180404B 111.5 7.1
22616 180407A 95.9 29.8
22628 180410A 100.7 13.8
22633 180411A 77.5 0.9
22658 180418A 2.29 0.83
22675 180425A 11.2 2.6
22690 180504A 88.3 44.4
22705 180510B 134.3 48.2
22720 180512A 24 7.1
22727 180514A 46.9 14.5
22755 180602A 45.4 7.1
22776 180613A 50.8 8.4
22786 180614A 7.04 0.92
22796 180618A 47.4 11.1
22815 180620A 23.16 4.82
22821 180620B 198.8 27.4
22833 180623A 114.9 6.8
22848 180624A 486.4 38.5
22862 180626A 30.07 1.42
22877 180630A 18.85 6.45
22894 180704A 19.7 1.4
22907 180705A 123.2 16.6
22921 180706A 42.7 8.7
22938 180709A 215.1 28.9
22951 180715A 0.68 0.09
22998 180720B NA NA
23000 180720C 124.2 32.7
23001 180721A 47.6 3
23047 180727A 1.1 0.2
23054 180728A 8.68 0.3
23081 180805A 1.68 0.41
23082 180805B 122.5 18.3
23123 180809B 233.2 1.1
23136 180812A 16.51 0.92
23154 180818A 13.7 4.1
23155 180818B 134.4 9.8
23166 180821A 64 22.6
23175 180823A 80.3 6.9
23188 180828A 14 8
23203 180904A 5.4 0.89
23213 180905A 165.3 28.9
23264 180924A 95.1 10.9
23273 180925A 81.7 23.25
23286 180930A 6.8 0.95
23294 181002A 63.4 12.4
23306 181003A 21.5 4.8
23321 181010A 16.4 2.2
23335 181013A 104.1 53.5
23343 181016A 111.6 26.3
23357 181020A 238 11.6
23365 181022A 6.74 2.3
23377 181023A 58 8.8
23384 181027A 81.16 10.55
23397 181030A 304.7 76.9
23405 181103A 8.38 2.41
23420 181110A 138.4 10.9
23442 181123A 220.9 55.9
23450 181125A 10.5 5
23463 181126A 2.09 0.12
23489 181202A 6.56 0.61
23500 181203A 15.3 1.75
23533 181213A 15.31 1.24
23555 181224A 12.5 4.2
23583 181228A 257.3 102.5
23606 190103B 19.5 2.7
23625 190106A 76.8 2.4
23653 190109A 115 33.5
23659 190109B 5.92 0.78
23674 190110A 9.3 0.8
23685 190114A 66.6 10.2
